"Cursus","Cursusnaam","Collegejaar","Medewerker"
"191211208","Industrial/external Training","2015","M7647830"
"191211208","Industrial/external Training","2015","M7648564"
"191211208","Industrial/external Training","2015","M7649262"
"191211208","Industrial/external Training","2015","M7665115"
"191211208","Industrial/external Training","2015","M7681614"
"191211208","Industrial/external Training","2015","M7681776"
"191211208","Industrial/external Training","2015","M7681984"
"191211208","Industrial/external Training","2015","M7687929"
"191211208","Industrial/external Training","2015","M7688585"
"191211208","Industrial/external Training","2015","M7694973"
"195899999","CME Master Thesis","2015","M7642036"
"195899999","CME Master Thesis","2015","M7642180"
"195899999","CME Master Thesis","2015","M7642681"
"195899999","CME Master Thesis","2015","M7644135"
"195899999","CME Master Thesis","2015","M7645316"
"195899999","CME Master Thesis","2015","M7646374"
"195899999","CME Master Thesis","2015","M7646500"
"195899999","CME Master Thesis","2015","M7647335"
"195899999","CME Master Thesis","2015","M7648086"
"195899999","CME Master Thesis","2015","M7680308"
"195899999","CME Master Thesis","2015","M7688073"
"191810112","Becoming an Entrepreneur","2015","M7641211"
"191810112","Becoming an Entrepreneur","2015","M7687008"
"191810880","Management of Innovation","2015","M7681595"
